count,time,loc
1,15472,132
2,17519,147
3,14893,175
4,13380,189
5,12308,211
6,12539,244
7,14060,271
8,13449,300
9,12824,331
10,12212,351
11,13039,399
12,11926,436
13,11529,475
14,11539,516
15,11208,559
16,11148,604
17,10762,651
18,10964,700
19,11658,751
20,10330,781
21,10552,859
22,10520,916
23,10568,975
24,11457,1036
25,10022,1071
26,10691,1164
27,10701,1231
28,11063,1300
29,10691,1371
30,10573,1444
31,10658,1519
32,10659,1596
33,10860,1675
34,10087,1756
35,10498,1839
36,11594,1924
37,10694,2011
38,10842,2100
39,10712,2191
40,11155,2284
41,10234,2379
42,10634,2476
43,15638,2575
44,10511,2676
45,10534,2779
46,10537,2884
47,11197,2991
48,11164,3100
49,11582,3211
50,11170,3271
51,10606,3439
52,10996,3556
53,11121,3675
54,10720,3796
55,11081,3919
56,11018,4044
57,11317,4171
58,11716,4300
59,11676,4431
60,11277,4564
61,10739,4699
62,11358,4836
63,11858,4975
64,11814,5116
65,11784,5259
66,11843,5404
67,14932,5551
68,12617,5700
69,12888,5851
70,12275,6004
71,11637,6159
72,11459,6316
73,11389,6475
74,12642,6636
75,13301,6799
76,12999,6964
77,13099,7131
78,13147,7300
79,12838,7471
80,13036,7644
81,12572,7819
82,12450,7996
83,13631,8175
84,13645,8356
85,13971,8539
86,15048,8724
87,13931,8911
88,15575,9100
89,15915,9291
90,17189,9484
91,15207,9679
92,14879,9876
93,14520,10075
94,16230,10276
95,16131,10479
96,17786,10684
97,16914,10891
98,17250,11100
99,14574,11311
100,52,114
